domain,name,category,description
example.com,Example Domain,health,Wellness resources
support.org,Support Org,community,Community support
wellness.net,Wellness Network,health,Health and wellness information
crisis.help,Crisis Help,support,Crisis recovery resources
community.care,Community Care,community,Community support services
recovery.hub,Recovery Hub,health,Recovery and healing resources
mind.connect,Mind Connect,mental-health,Mental health support
share.voice,Share Voice,community,Peer support and sharing platform
atom.com,Atom,marketplace,Domain marketplace for hopehub.com sale
hopehub.com,HopeHub,platform,Wellness & community support platform
